,Date,Open,High,Low,Close,Volume,Week,Quarter,Month Name,Day Name,Day,Month
651,2020-06-02,180.117,180.852,177.288,180.763,31501708.667662,23,2,June,Tuesday,2,6
650,2020-06-03,180.673,181.756,179.462,181.209,27938146.448241,23,2,June,Wednesday,3,6
649,2020-06-04,180.166,181.666,178.212,178.806,29422255.496922,23,2,June,Thursday,4,6
648,2020-06-05,178.509,183.512,177.924,182.996,40809705.008948,23,2,June,Friday,5,6
647,2020-06-08,181.756,184.328,180.306,184.138,33974214.446824,24,2,June,Monday,8,6
646,2020-06-09,183.781,186.412,183.056,185.548,30467831.903858,24,2,June,Tuesday,9,6
645,2020-06-10,186.828,194.066,186.72,192.428,44879749.463433,24,2,June,Wednesday,10,6
644,2020-06-11,188.794,191.366,181.884,182.073,54068352.029391,24,2,June,Thursday,11,6
643,2020-06-12,186.253,187.414,181.031,183.522,44369557.388881,24,2,June,Friday,12,6
642,2020-06-15,180.435,186.53,179.889,184.704,33522833.854313,25,2,June,Monday,15,6
641,2020-06-16,188.557,191.187,187.157,189.231,43533867.442565,25,2,June,Tuesday,16,6
640,2020-06-17,190.641,191.921,189.35,189.877,26277680.514569,25,2,June,Wednesday,17,6
639,2020-06-18,189.648,192.09,189.648,191.921,23591202.717099,25,2,June,Thursday,18,6
638,2020-06-19,194.136,194.8,190.006,190.76,45461624.1384,25,2,June,Friday,19,6
637,2020-06-22,191.396,196.26,190.839,196.071,33572537.443698,26,2,June,Monday,22,6
636,2020-06-23,197.56,199.357,196.915,197.382,31627390.938217,26,2,June,Tuesday,23,6
635,2020-06-24,197.084,198.702,192.159,193.4,37584307.300325,26,2,June,Wednesday,24,6
634,2020-06-25,193.36,196.111,191.078,195.843,28442382.432406,26,2,June,Thursday,25,6
633,2020-06-26,195.237,195.396,190.492,191.931,55931277.693694,26,2,June,Friday,26,6
632,2020-06-29,191.386,194.076,189.211,193.986,27314722.175378,27,2,June,Monday,29,6
631,2020-06-30,193.44,199.804,193.302,198.93,35098136.660317,27,2,June,Tuesday,30,6
630,2020-07-01,198.592,201.721,197.242,200.102,32797414.681356,27,3,July,Wednesday,1,7
629,2020-07-02,201.054,203.348,200.399,201.631,29988927.183186,27,3,July,Thursday,2,7
628,2020-07-06,204.132,206.396,203.418,205.97,32630081.076881,28,3,July,Monday,6,7
627,2020-07-07,205.72,209.841,203.318,203.577,34372292.412078,28,3,July,Tuesday,7,7
626,2020-07-08,205.343,208.48,204.013,208.064,34371568.172438,28,3,July,Wednesday,8,7
625,2020-07-09,211.489,211.539,206.733,209.494,33882241.049057,28,3,July,Thursday,9,7
624,2020-07-10,208.819,209.255,206.346,208.857,26778738.506992,28,3,July,Friday,10,7
623,2020-07-13,209.652,210.962,201.869,202.435,39011299.124371,29,3,July,Monday,13,7
622,2020-07-14,201.501,204.152,197.501,203.675,38455024.658632,29,3,July,Tuesday,14,7
621,2020-07-15,204.838,206.594,200.429,203.368,32918331.47523,29,3,July,Wednesday,15,7
